horseID,name,country_age,owner,import_type,color_sex,sire,dam,dam_sire,url
J531,J531,AUS / 4,Great Fund Syndicate,PP,Bay / Gelding,Starspangledbanner,Wangaala,Toorak Toff,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J531
C461,NATURAL STORM,NZ / 7,Lyon Cheng Lai Fung,PPG,Bay / Gelding,Pins,Miracle Miss,O'Reilly,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2018_C461
H188,RED HARE KING,AUS / 4,Jonathan Cheung Yu Shing,PPG,Bay / Gelding,So You Think,Fragrance,Commands,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H188
H081,BABY CRYSTAL,NZ / 5,Ip Wai Yuen & Chan Tak Wa,PPG,Brown / Gelding,Per Incanto,Makkura,Falkirk,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H081
H192,FLAMINGO TRILLION,AUS / 4,Rudolf Tam Kai Chung,PPG,Chestnut / Gelding,Wandjina,Double Dee,Dubleo,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H192
H142,VICTORY MOMENTS,AUS / 4,Sebastian Man Shiu Wai,PP,Chestnut / Gelding,Spieth,Tris,Street Boss,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H142
H185,WATCH BUDDY,AUS / 4,Friends of the Watch and Clock Alliance Syndicate,PPG,Bay / Gelding,Rothesay,Rhodopis,Real Saga,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H185
J050,AWESOME FLUKE,AUS / 4,Lam Fuk Tak,PP,Bay / Gelding,Awesome Rock,Jayquin Star,O'Reilly,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J050
H308,DREAM WINNER,NZ / 4,Linda So Hoi Yan,PPG,Bay / Gelding,Exosphere,Longbeach Lucy,Brilliance,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H308
J008,GORGEOUS WIN,AUS / 3,Yip Kong Wah,PPG,Bay / Gelding,Press Statement,Hollywell,Refuse To Bend,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J008
J398,LUCK IS BACK,BRZ / 4,Faithful Friends Syndicate,PP,Bay / Gelding,Put It Back,Callana,Dynaformer,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J398
H256,REWARD SMILE,GB / 4,Vicky Tang & Lee Lit Lung,PP,Bay / Gelding,Havana Grey,Chandresh,Holy Roman Emperor,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H256
G207,WE ARE HERO,AUS / 6,Ying Kee Club Syndicate,PP,Bay / Gelding,Headwater,Kinsella,Shamardal,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G207
J316,BOTTOMUPTOGETHER,AUS / 3,So Kai Sing,PPG,Bay / Brown / Gelding,Shamus Award,Miss Ethics,Count Dubois,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2023_J316
H265,HAMERON,GB / 6,Raymond Hui,PP,Chestnut / Gelding,Night Of Thunder,Thurayaat,Tamayuz,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2022_H265
G467,NORDIC DRAGON,IRE / 5,Edmond Yue Kwok Yin,ISG,Bay / Gelding,Starspangledbanner,Rely On Me,Kyllachy,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G467
G380,CHING,NZ / 5,Keith Ng Ting Kit,PPG,Chestnut / Gelding,Frosted,Darci Dancer,Darci Brahma,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2021_G380
E204,FLYING HIGH,AUS / 6,Happy Celebration Syndicate,PP,Bay / Gelding,Office Bearer,Belle Laude,Summa Cum Laude,https://racing.hkjc.com/racing/information/English/Horse/Horse.aspx?HorseId=HK_2020_E204
